Time,X,Y,Z,Mag
0.1366,-12.1435,3.09562,-0.205345,12.53353988
0.1367,-12.3012,3.1348,-0.287483,12.69760367
0.1368,-12.2224,3.09562,-0.369621,12.61374427
0.1369,-12.0252,2.97806,-0.287483,12.3918087
0.137,-11.9858,3.17398,-0.328552,12.40328574
0.1371,-11.7887,3.25235,-0.369621,12.23469852
0.1372,-11.5521,3.1348,-0.533897,11.98177914
0.1373,-11.5915,2.97806,-0.287483,11.97139758
0.1374,-11.907,2.8605,-0.164276,12.24688107
0.1375,-11.7098,3.09562,-0.164276,12.11318562
0.1376,-11.631,3.21317,-0.328552,12.07114613
0.1377,-11.5521,2.97806,-0.082138,11.93007135
0.1378,-11.5127,2.97806,-0.205345,11.89341285
0.1379,-11.5127,2.97806,-0.205345,11.89341285
0.138,-11.5915,2.93887,-0.082138,11.95853569
0.1381,-11.8675,2.82132,-0.164276,12.1993602
0.1382,-11.5521,3.01724,-0.164276,11.94075953
0.1383,-11.4733,2.66458,-0.164276,11.77979567
0.1384,-11.1184,3.01724,-0.123207,11.52118639
0.1385,-11.2367,2.93887,-0.164276,11.61582414
0.1386,-11.1973,2.82132,0.041069,11.54733997
0.1387,-11.1578,2.8605,0,11.51863538
0.1388,-11.1578,2.66458,-0.041069,11.47162474
0.1389,-11.0396,2.78213,0.041069,11.38484528
0.139,-11.0396,2.89969,-0.123207,11.41473391
0.1391,-10.8819,3.01724,-0.164276,11.29364739
0.1392,-10.6847,3.01724,-0.164276,11.10376233
0.1393,-10.8424,2.8605,-0.205345,11.21526926
0.1394,-10.8819,2.78213,0.164276,11.23311985
0.1395,-10.6847,2.8605,0.164276,11.06219964
0.1396,-10.6847,2.8605,-0.041069,11.06105605
0.1397,-10.6847,2.93887,-0.041069,11.08158191
0.1398,-10.5664,2.74295,-0.123207,10.91731485
0.1399,-10.7636,2.62539,-0.082138,11.07946318
0.14,-10.7241,2.54702,0.082138,11.022721
0.1401,-10.803,2.58621,0.123207,11.10893654
0.1402,-10.6453,2.66458,0.205345,10.97563507
0.1403,-10.5664,2.78213,-0.082138,10.92683865
0.1404,-10.527,2.78213,0.082138,10.88874295
0.1405,-10.251,2.8605,0.041069,10.64270398
0.1406,-10.2116,3.01724,0.041069,10.64810774
0.1407,-10.2116,2.8605,0.041069,10.60475938
0.1408,-10.3693,2.74295,0,10.72595717
0.1409,-10.3693,2.54702,0.082138,10.6778481
0.141,-10.2904,2.66458,0.082138,10.63010185
0.1411,-10.3693,2.58621,-0.041069,10.68702724
0.1412,-10.3693,2.62539,0.041069,10.69657617
0.1413,-10.4087,2.50784,0.246414,10.7093892
0.1414,-10.4087,2.50784,0.287483,10.71041286
0.1415,-10.2116,2.27273,0.164276,10.46274643
0.1416,-10.0933,2.39028,0.369621,10.37905405
0.1417,-10.1722,2.23354,0.328552,10.4197073
0.1418,-10.251,2.3511,0.082138,10.51748158
0.1419,-10.2116,2.0768,0.41069,10.42873622
0.142,-10.0933,2.23354,0.451759,10.34734227
0.1421,-9.9356,2.39028,0.369621,10.22576186
0.1422,-10.0933,2.46866,0.287483,10.39478877
0.1423,-10.1327,2.31191,0.328552,10.39829234
0.1424,-9.81732,2.31191,0.369621,10.0926369
0.1425,-9.65961,2.62539,0.41069,10.01845319
0.1426,-9.62019,2.54702,0.41069,9.960122127
0.1427,-9.73847,2.46866,0.492828,10.05857642
0.1428,-9.7779,2.11599,0.739242,10.03151139
0.1429,-9.85675,2.11599,0.739242,10.1083833
0.143,-9.81732,2.15517,0.82138,10.08460187
0.1431,-9.73847,1.88088,1.06779,9.975754758
0.1432,-9.81732,2.03762,0.944587,10.07094394
0.1433,-9.89618,2.0768,0.985656,10.15967493
0.1434,-9.81732,1.92006,1.14993,10.06919765
0.1435,-9.50191,2.0768,0.944587,9.771982219
0.1436,-9.42305,2.11599,0.903518,9.699877822
0.1437,-9.46248,2.31191,0.903518,9.782627478
0.1438,-9.65961,2.15517,1.14993,9.963692191
0.1439,-9.42305,2.0768,1.27314,9.732823588
0.144,-9.62019,2.11599,1.47848,9.960490572
0.1441,-9.46248,1.99843,1.27314,9.754646876
0.1442,-9.42305,1.99843,1.27314,9.716402587
0.1443,-9.18649,1.88088,1.35528,9.474496925
0.1444,-9.22592,2.0768,1.14993,9.526438846
0.1445,-9.10764,1.95925,1.31421,9.408236543
0.1446,-9.26534,1.88088,1.43742,9.562970833
0.1447,-9.10764,1.84169,1.43742,9.402505234
0.1448,-9.06821,1.88088,1.35528,9.35985716
0.1449,-8.83165,1.99843,1.10886,9.122572811
0.145,-8.9105,2.19436,1.10886,9.243473187
0.1451,-8.79222,2.19436,1.10886,9.129508138
0.1452,-8.87107,1.99843,1.47848,9.212790485
0.1453,-8.71337,2.03762,1.51955,9.076549136
0.1454,-8.79222,2.03762,1.51955,9.152270756
0.1455,-8.63451,1.92006,1.68383,9.004258815
0.1456,-8.83165,1.84169,1.68383,9.17742596
0.1457,-8.55566,1.76332,1.56062,8.873790072
0.1458,-8.59509,1.88088,1.43742,8.915125234
0.1459,-8.4768,1.99843,1.23207,8.795900022
0.146,-8.39795,2.19436,1.56062,8.819088093
0.1461,-8.4768,2.19436,1.14993,8.831403799
0.1462,-8.27967,2.11599,1.23207,8.634138375
0.1463,-8.16139,1.92006,1.43742,8.506532395
0.1464,-8.35852,1.95925,1.43742,8.704578876
0.1465,-8.24024,2.11599,1.60169,8.657042208
0.1466,-7.96425,2.19436,1.68383,8.430882358
0.1467,-8.16139,2.11599,1.56062,8.574452472
0.1468,-7.96425,2.03762,1.43742,8.345498762
0.1469,-7.84597,1.99843,1.60169,8.253385885
0.147,-7.80655,1.99843,1.56062,8.208013167
0.1471,-8.04311,1.99843,1.76597,8.47372356
0.1472,-8.00368,1.99843,2.01238,8.491306688
0.1473,-7.8854,1.84169,1.84811,8.305833239
0.1474,-7.84597,1.99843,1.88917,8.313960007
0.1475,-7.72769,1.92006,1.93024,8.193268554
0.1476,-7.76712,1.99843,1.97131,8.258809761
